store_id,province,address
100,British Columbia,"54062 Sweeney Divide, Raychester, British Columbia, K8L 5P5"
101,Manitoba,"942 Santos Prairie Apt. 955, North Ashleyland, Manitoba, X5M 1B9"
102,Quebec,"81084 Robert Prairie Apt. 649, Kayleefurt, Quebec, A5T8J8"
103,Saskatchewan,"625 Adams Island, Barkerland, Saskatchewan, R4A9E5"
104,British Columbia,"969 Miller Mountains, North Cynthia, British Columbia, G9P 6K3"
105,Quebec,"739 Julia Circle, New Clifford, Quebec, H2E 7E5"
106,Manitoba,"9240 Kirby Stream Apt. 451, South Erikchester, Manitoba, V7H8T4"
107,Ontario,"2641 Patrick Unions Suite 187, Aliciastad, Ontario, N7K5A9"
108,Newfoundland and Labrador,"90344 Turner Mission, East Christopher, Newfoundland and Labrador, L2E 5V9"
109,British Columbia,"56993 Benitez Roads, Port Jason, British Columbia, K9J 5Y7"
110,Alberta,"802 Lewis Islands, North Charles, Alberta, E8J 7R6"
111,Ontario,"24552 Denise Shores Suite 995, Laurenview, Ontario, G2J7E1"
112,Newfoundland and Labrador,"384 Joseph Isle Suite 094, East William, Newfoundland and Labrador, P3T4T4"
113,Nova Scotia,"7763 Cheryl Mountain Apt. 517, Blairview, Nova Scotia, L4B 9P3"
114,Prince Edward Island,"17496 Jennifer Groves, Port Annehaven, Prince Edward Island, H4H 8Y9"
115,New Brunswick,"57381 Castaneda Corners Apt. 022, North Angela, New Brunswick, G3S7A3"
116,Alberta,"3315 John Crossroad Apt. 476, New Carlashire, Alberta, A3E 2R8"
117,Nova Scotia,"93971 Victoria Mountains Apt. 563, West Williambury, Nova Scotia, C2R3L6"
118,Manitoba,"571 Michael Pass Suite 601, New Michaelhaven, Manitoba, J9G 7K8"
119,Nova Scotia,"7889 Kevin Stream, Garyview, Nova Scotia, L6Y 8L6"
